"Feature name","Used in cyweb","Fully supported in cyjs v4","Comments/details","Category","Cyjs v3 API / properties","Works unchanged in v4","Cyweb evidence (repo-relative)","Cyjs v4 evidence (repo-relative)","Verification"
"Hide edges on viewport","Yes","No","Cyweb passes hideEdgesOnViewport:true. v4 ignores this removed Canvas-era degradation option; WebGPU culling/LOD is the replacement, not identical behaviour.","Integration","hideEdgesOnViewport","No","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","MIGRATING.md","Source review"
"Headless topology model","Yes","Yes","Cyweb stores network topology in a headless core. v4 supports CPU-only headless use; styleEnabled:false is not needed to make it headless.","Graph model","headless; styleEnabled:false","Yes","src/models/NetworkModel/impl/networkImpl.ts","src/core.mts","Source review"
"Element creation and IDs","Yes","Yes","Explicit string IDs, nodes/edges definition arrays, source/target endpoints and initial positions are supported. Layout cores also omit edge IDs; v4 generates IDs for missing identifiers.","Graph model","cy.add; elements; data.id/source/target","Yes","src/models/NetworkModel/impl/networkImpl.ts; src/features/NetworkPanel/CyjsRenderer/cyjsFactoryUtil.ts; src/models/LayoutModel/impl/Cyjs/cyjsLayout.ts","src/element-defs.mts; src/core.mts","Source review"
"String selectors","Yes","No","Used for deletion (#id lists and *), selected nodes and delegated node/edge events. v4 rejects selector strings. Use $id, query objects, predicates and collections.","Graph model","remove(""*""); nodes("":selected""); #id","No","src/models/NetworkModel/impl/networkImpl.ts; src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/matcher.mts; src/collection.mts","Source review + headless probe (see README)"
"ID lookups and collections","Yes","Yes","getElementById/$id, empty, length/size, map/forEach and predicate filter support remain. Review mixed element iteration because v4 groups nodes before edges.","Graph model","$id; getElementById; empty; size; map; forEach; filter","Yes","src/models/NetworkModel/impl/networkImpl.ts; src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx; src/app-api/core/elementApi.ts","src/core.mts; src/collection.mts","Source review"
"Endpoint rewiring","Yes","Yes","App API moves edges atomically with edge.move({source,target}), preserving edge ID. v4 supports endpoint moves.","Graph model","edge.move; source; target","Yes","src/models/NetworkModel/impl/networkImpl.ts","src/collection.mts","Source review"
"Removed-element readback","Yes","No (partial)","Deletion helpers inspect deletedElements.edges() and source()/target() after removal. v4 only guarantees cached id/group on terminal handles. Probe: source initially reads the old endpoint, then reads the replacement edge endpoint after slot reuse. Snapshot edge definitions before removal.","Graph model","remove return; removed edge.source/target","No","src/models/StoreModel/impl/networkStoreImpl.ts; src/models/NetworkModel/impl/networkImpl.ts","src/collection.mts; MIGRATING.md","Source review + headless probe (see README)"
"Cyjs JSON import helper","Present (caller unverified)","No","createFromCyJson calls store.json(cyJson), which v4 rejects. Replace with add(definitions) or constructor elements if this helper is used. Separate from CX2 conversion.","Graph model","cy.json(object)","No","src/models/NetworkModel/impl/networkImpl.ts","src/core.mts","Source review + headless probe (see README)"
"Cyjs JSON export helper","Yes","Yes","createCyJSON exports store.json(). Export exists in v4, but style/bypass format changes; do not assume a v3 JSON document schema for rendered cores.","Graph model","cy.json()","Review exported schema","src/models/NetworkModel/impl/networkImpl.ts","src/core.mts","Source review"
"Incident edges","Yes","Yes","Used by the public element API; v4 retains the traversal. A two-node headless probe returned the expected IDs. Roots/outgoers also drive hierarchy construction.","Graph traversal","connectedEdges","Yes","src/app-api/core/elementApi.ts","src/collection.mts","Source review + headless probe"
"Neighbour nodes","Yes","Yes","Used by the public element API; v4 retains the traversal. A two-node headless probe returned the expected IDs. Roots/outgoers also drive hierarchy construction.","Graph traversal","neighborhood","Yes","src/app-api/core/elementApi.ts","src/collection.mts","Source review + headless probe"
"Outgoing neighbours","Yes","Yes","Used by the public element API; v4 retains the traversal. A two-node headless probe returned the expected IDs. Roots/outgoers also drive hierarchy construction.","Graph traversal","outgoers","Yes","src/app-api/core/elementApi.ts","src/collection.mts","Source review + headless probe"
"Incoming neighbours","Yes","Yes","Used by the public element API; v4 retains the traversal. A two-node headless probe returned the expected IDs. Roots/outgoers also drive hierarchy construction.","Graph traversal","incomers","Yes","src/app-api/core/elementApi.ts","src/collection.mts","Source review + headless probe"
"Successors","Yes","Yes","Used by the public element API; v4 retains the traversal. A two-node headless probe returned the expected IDs. Roots/outgoers also drive hierarchy construction.","Graph traversal","successors","Yes","src/app-api/core/elementApi.ts","src/collection.mts","Source review + headless probe"
"Predecessors","Yes","Yes","Used by the public element API; v4 retains the traversal. A two-node headless probe returned the expected IDs. Roots/outgoers also drive hierarchy construction.","Graph traversal","predecessors","Yes","src/app-api/core/elementApi.ts","src/collection.mts","Source review + headless probe"
"Roots","Yes","Yes","Used by the public element API; v4 retains the traversal. A two-node headless probe returned the expected IDs. Roots/outgoers also drive hierarchy construction.","Graph traversal","roots","Yes","src/app-api/core/elementApi.ts","src/collection.mts","Source review + headless probe"
"Leaves","Yes","Yes","Used by the public element API; v4 retains the traversal. A two-node headless probe returned the expected IDs. Roots/outgoers also drive hierarchy construction.","Graph traversal","leaves","Yes","src/app-api/core/elementApi.ts","src/collection.mts","Source review + headless probe"
"Whole-graph algorithms","No direct usage found","N/A","No direct production usage found of cyjs PageRank, centrality, shortest-path or clustering APIs in cyweb. External apps may have their own usage, outside this repository inventory.","Graph traversal","pageRank; centralities; paths; clustering","N/A","src/app-api/core/elementApi.ts; src/models/NetworkModel/impl/networkImpl.ts","MIGRATING.md","Source review"
"Batch updates","Yes","Yes","startBatch/endBatch reduce renderer updates around topology, view-model and graphics writes. Supported in v4.","Core API","startBatch; endBatch","Yes","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx; src/features/NetworkPanel/CyjsRenderer/nodeGraphicsApply.ts","src/core.mts","Source review"
"Selection state","Yes","Yes","select/unselect/selected and autounselectify exist. Preserve cyweb store synchronization; replace string selectors and selected-style blocks separately.","Interaction","select; unselect; selected; autounselectify","Yes","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/collection.mts; src/core.mts","Source review"
"Box selection","Yes","Yes","boxSelectionEnabled and boxend support exist. Cyweb collects selected nodes/edges after boxend. Recheck gesture selection geometry in the browser.","Interaction","boxSelectionEnabled; boxend","Yes","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/interact/pointer.mts; src/core.mts","Source review"
"Tap and context tap","Yes","Yes","tap and cxttap remain in the emitted event vocabulary. Target/model/rendered positions support node creation, edge creation and context menus. Predicate delegation must replace selector strings.","Interaction","tap; cxttap; event.target/position/renderedPosition","No: delegated selectors","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/interact/pointer.mts; src/event.mts","Source review"
"Drag lifecycle","Yes","Yes","grab and dragfree remain emitted. Position reads let cyweb record drag undo and update its view model.","Interaction","grab; dragfree; position","No: delegated selectors","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/interact/pointer.mts","Source review"
"Mouse hover events","Yes","Yes","mouseover/mouseout specifically survive v4, unlike raw mousedown/click aliases. Replace node, edge delegation strings and class mutations.","Interaction","mouseover; mouseout","No: delegation and classes","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/interact/pointer.mts","Source review"
"Delegated event selectors","Yes","No","on(tap,node,handler), grab/dragfree node and mouseover/out node, edge use strings. v4 requires predicates; retain predicate identity for off().","Interaction","cy.on(events, selector, handler)","No","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/emitter.mts; MIGRATING.md","Source review"
"Listener cleanup","Yes","Yes","on/off/removeAllListeners exist. Annotation reattachment must change because cyCanvas.resize comes from an incompatible extension and v4 does not implement namespaces.","Interaction","on; off; removeAllListeners","Yes","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx; src/features/NetworkPanel/CyjsRenderer/annotations/cyjsAnnotationRenderer.js","src/core.mts; src/emitter.mts","Source review"
"Event cancellation","Yes","No (partial)","Edge creation calls preventDefault/stopPropagation. v4 stopPropagation works, but preventDefault only reaches browser defaults; use explicit selection/grab toggles for graph interaction defaults. Verify the create-edge gesture.","Interaction","preventDefault; stopPropagation","Review gesture behaviour","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/event.mts; MIGRATING.md","Source review"
"Custom pointer cursor","Yes","No (partial)","Cyweb writes container.style.cursor in edge creation mode. v4 supplies canvas cursors that may override it. Set pointerCursors:false where cyweb owns the cursor or integrate with v4 state.","Interaction","container.style.cursor","Review cursor ownership","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/interact/cursor.mts; MIGRATING.md","Source review"
"Hide/show filtering","Yes","Yes","Collection show()/hide() exist as v4 structural visibility operations. Coordinate these with visual-property visibility, which can no longer use display mappings.","Interaction","show; hide","Review mapped visibility interaction","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/collection.mts","Source review"
"Pan / zoom / fit","Yes","Yes","zoom, pan, fit, extent, width/height and container access exist. viewport events are emitted by v4 source even though the migration guide vocabulary list omits them.","Viewport","zoom; pan; fit; extent; viewport","Yes","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx; src/features/NetworkPanel/CyjsRenderer/viewportRecovery.ts","src/core.mts; src/viewport.mts","Source review"
"Resize and render events","Yes","Yes","Annotation layers redraw on render and resize. Native core events exist, but cyCanvas.resize is an extension signal and will need replacement.","Viewport","render; resize","No: canvas extension","src/features/NetworkPanel/CyjsRenderer/annotations/cyjsAnnotationRenderer.js","src/core.mts","Source review"
"Positions and bounding boxes","Yes","No (partial)","Position and boundingBox APIs exist, including label-aware fitting. v4 stores Float32 coordinates rather than v3 Float64; extreme coordinate precision is not identical. Recheck viewport recovery and layout extents.","Viewport","position; boundingBox","Review numeric precision","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx; src/features/NetworkPanel/CyjsRenderer/viewportRecovery.ts","src/collection.mts; src/viewport.mts; MIGRATING.md","Source review"
"Destroy and multiple instances","Yes","Yes","Main renderer, style-preview core, topology cores and temporary layout cores are supported lifecycles. v4 render instances each require GPU readiness.","Core API","destroy; multiple cores","Yes","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx; src/models/NetworkModel/impl/networkImpl.ts; src/models/LayoutModel/impl/Cyjs/cyjsLayout.ts","src/core.mts","Source review"
"Synchronous PNG export","Yes","No (partial)","cyweb exportPng returns a string synchronously. v4 png returns Promise<string|Blob>. Make renderer registry, export consumers and preview calls async; preserve full/maxWidth/maxHeight/bg options.","Export","cy.png({full,maxWidth,maxHeight,bg})","No","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/core.mts","Source review"
"SVG export","Yes","No","cytoscape-svg registers a v3 core extension and adds cy.svg. No native svg method or compatible registry found in v4. Requires an export implementation/port.","Export","cy.svg; cytoscape-svg","No","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx; src/features/ToolBar/DataMenu/ExportNetworkToImage/registerCyImageExportExtensions.ts","src/core.mts; MIGRATING.md","Source review"
"PDF export","Yes","No","cytoscape-pdf-export registers a v3 core extension and adds cy.pdf with paper size/orientation/margins. No native pdf method or compatible registry found in v4. Requires an export implementation/port.","Export","cy.pdf; cytoscape-pdf-export","No","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx; src/features/ToolBar/DataMenu/ExportNetworkToImage/registerCyImageExportExtensions.ts","src/core.mts; MIGRATING.md","Source review"
"Style preview thumbnails","Yes","No (partial)","Offscreen rendered core reuses the same mapper and calls png for style thumbnails. Requires v4 sheet conversion, awaiting GPU readiness and PNG Promise, and checking the serial render queue.","Export","previewCy; png","No","src/features/Vizmapper/StyleManager/preview/renderStylePreview.ts","src/core.mts","Source review"
"Cytoscape TypeScript types","Yes","No","Cyweb imports v3 Core, NodeSingular, EdgeSingular, CollectionReturnValue, EventObject and related declarations from @types/cytoscape. v4 ships its own differently shaped types. Recompile/adapt all integration types; no manifest changes made in this inventory.","Integration","@types/cytoscape ^3.19.9; cytoscape ^3.34.0","No","package.json; src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx; src/models/LayoutModel/impl/Cyjs/cyjsLayout.ts","package.json; src/public-types.mts","Source review"
